,book_name,author,publication,publication_year,availability,pages,shipping_time,language,price,binding,cover,about_book,page_link,cluster
2364,Ugenia Lavender Temple of Gloom,Geri Halliwell,Pan Macmillan,2009,Available,160,Same Day Dispatch,English,202,Paperback,https://cms.buybooksindia.com/uploads/books/9780330454322.jpg,"Thoughtful, brave and sassy, Ugenia Lavender is one amazing kid. With loads of energy, tons of attitude and brainwaves like thunderbolts of lightning, Ugenia leaps into adventurers that are as packed with personality as their creator, Geri Halliwell. Each book in the series contains three stories plus Ugenia's Big News, Top Tips and extra Brain Sqeezer puzzle pages. Book 5 - Ugenia is convinced there is real-life giant living next to her Granny Betty. But just how does she prove it? Can she stop her parents from being taken in by a beautiful bloodsucker? Just as Ugenia thinks it can't get any worse she finds herself stuck in the Temple of Gloom. Will she ever find a way out?",https://www.buybooksindia.com/ugenia-lavender-temple-of-gloom-9780330454322-70855.htm,low range
2365,The Morning Gift,Eva Ibbotson,Pan Macmillan,2007,Available,512,Same Day Dispatch,English,315,Paperback,https://cms.buybooksindia.com/uploads/books/9780330444996.jpg,"Ruth lives in the beautiful city of Vienna and is wildly in love with Heini Radik, a brilliant young pianist. But her world is about to change forever.",https://www.buybooksindia.com/the-morning-gift-9780330444996-70850.htm,low range
2366,Cosmo and the Magic Sneeze,Gwyneth Rees,Pan Macmillan,2005,Available,256,Same Day Dispatch,English,225,Paperback,https://cms.buybooksindia.com/uploads/books/9780330437295.jpg,"Cosmo is delighted when he passes the special test and becomes a witch-cat, just like his father Mephisto. Now he will be able to ride on broomsticks and help Sybil the witch with her spells - and it's all because of his magic sneeze, the all-important ingredient for Sybil's cauldron.",https://www.buybooksindia.com/cosmo-and-the-magic-sneeze-9780330437295-70844.htm,low range
2367,The Beasts of Clawstone Castle,Eva Ibbotson,Pan Macmillan,2012,Available,256,Same Day Dispatch,English,495,Paperback,https://cms.buybooksindia.com/uploads/books/9780330434652.jpg,"We need proper ghosts,' said Ned, `really scary ones with heads that come off and daggers in their chests!' .. When Madlyn and her younger brother Rollo arrive at crumbling Clawstone Castle, they can see that emergency action is needed before Clawstone falls down completely. With the help of a team of homeless, scary ghosts - including a one-eyed skeleton and Brenda the Bloodstained Bride - they hatch a spooky plan to get the money rolling in. But with a sinister scientist on the loose, money might not be enough to save the mysterious beasts of Clawstone Castle . . .",https://www.buybooksindia.com/the-beasts-of-clawstone-castle-9780330434652-70839.htm,low range
2368,Double Fudge,Judy BlumeÂ ,Pan Macmillan,2003,Available,208,Same Day Dispatch,English,1747,Paperback,https://cms.buybooksindia.com/uploads/books/9780330413541.jpg,"Ooh, money, money, money,' sang Fudge. 'I love money, money, money!'. .Pete's little brother Fudge has a new obsession. He's mad about money and he wants loads of it. In fact, he's going to print a hundred million trillion 'Fudge Bucks' and buy the whole world. Or maybe he'll just settle for buying the capital city of America and call it Fudgington.",https://www.buybooksindia.com/double-fudge-9780330413541-70832.htm,mid range
2369,The Haunting of Hiram,Eva IbbotsonÂ ,Pan Macmillan,2009,Available,192,Same Day Dispatch,English,206,Paperback,https://cms.buybooksindia.com/uploads/books/9780330398428.jpg,"Alex MacBuff can't afford to keep his beloved Castle Carra, and an American millionaire has made him an offer he can't refuse. The castle is shipped all the way to Texas, but its ghostly inhabitants, including Krok the Viking warrior and a hell-hound called Cyril, follow their home across the Atlantic. How can Alex stop them haunting Hiram and also save the millionaire's daughter from an evil ransom plot?",https://www.buybooksindia.com/the-haunting-of-hiram-9780330398428-70830.htm,low range
2370,It's Not the End of the World,Judy BlumeÂ ,Pan Macmillan,2006,Available,192,Same Day Dispatch,English,652,Paperback,https://cms.buybooksindia.com/uploads/books/9780330398107.jpg,"Karen's parents have always argued, and lately they've been getting worse. But when her father announces that they're going to get divorced, it seems as if Karen's whole world will fall apart. Her brother, Jeff, blames their mum. Her kid sister, Amy, asks impossible questions and is scared that everyone she loves is going to leave. Karen just wants her parents to get back together. Gradually, she learns that this isn't going to happen - and realizes that divorce is not the end of the world.",https://www.buybooksindia.com/it-s-not-the-end-of-the-world--9780330398107-70829.htm,low range
2371,Iggie's House,Judy BlumeÂ ,Pan Macmillan,2006,Available,112,Same Day Dispatch,English,225,Paperback,https://cms.buybooksindia.com/uploads/books/9780330398091.jpg,"There's a new family on Grove Street. Winnie's best friend, Iggie, has just moved away and Winnie's bored as hell without her. So she's determined to be friends with the new family especially Glenn, who's kind of cute. But certain people don't want the Garbers to be there, and have started a petition to get rid of them. You see Glenn and his family are black, and Grove Street is stuck in the past. And the toughest thing of all is that Winnie's terrified her parents might sign the petition and there's nothing she can do to stop them.",https://www.buybooksindia.com/iggie-s-house--9780330398091-70828.htm,low range
2372,Freckle Juice,Judy BlumeÂ ,Pan Macmillan,2001,Available,80,Same Day Dispatch,English,288,Paperback,https://cms.buybooksindia.com/uploads/books/9780330308298.jpg,"Andrew wants freckles. He wants to be like Nicky Lane who has millions of them. If he had freckles like Nicky, then his mother would never notice when his neck was dirty. He wouldn't have to wash and he'd never be late for school.",https://www.buybooksindia.com/freckle-juice-9780330308298-70818.htm,low range
2373,D.W.'s Library Card,Marc BrownÂ ,Little Brown & Co,2003,Available,24,Same Day Dispatch,English,481,Paperback,https://cms.buybooksindia.com/uploads/books/9780316738200.jpg,"D.W. can't wait to get a library card, but she has to learn how to write her full name first. She practices and practices, and is finally rewarded with a library card of her very own. But when she tries to find the book she wants, it's gone! Somehow D.W. manages to wait a whole week for the book to be returned, only to hear that she can't damage it or her library card will be taken away--forever!",https://www.buybooksindia.com/d-w-s-library-card--9780316738200-70814.htm,low range
2374,D.W. Rides Again,Marc Brown,Little Brown & Co,1996,Available,32,Same Day Dispatch,English,412,Paperback,https://cms.buybooksindia.com/uploads/books/9780316110525.jpg,"He's been on the scene in your stores and selling in big numbers for almost twenty-five years: Arthur, the bestselling aardvark. Now his Emmy award-winning, number-one rated children's TV show, Arthur, has catapulted his book sales to new heights. Arthur has sold in the past, continues to sell in record numbers in the present, and Now Little, Brown offers a fantastic promotion to make sure Arthur and D.W. will be star performers this fall and always. The promotion features an eye-catching display, extensive print and television advertising, and lots of prizes for booksellers and customers, too.",https://www.buybooksindia.com/d-w-rides-again-9780316110525-70811.htm,low range
2375,Arthur's TV Trouble,Marc Brown,Little Brown & Co,1997,Available,32,Same Day Dispatch,English,481,Paperback,https://cms.buybooksindia.com/uploads/books/9780316110471.jpg,"When Arthur sees the advertisement for the amazing doggy Treat Timer, he knows it's the perfect gift for Pal. He sets out to earn the money to buy it, daydreaming of riches and of Pal's reaction when he sees the Treat Timer for the first time. Everything seems to be working out, too -- until a big gust of wind nearly blows Arthur's dreams of luxury away!",https://www.buybooksindia.com/arthur-s-tv-trouble-9780316110471-70810.htm,low range
2376,Guardian of the Dead,Karen HealeyÂ ,Hachette Book Pub India Pvt Ltd,2011,Available,368,Same Day Dispatch,English,1476,Paperback,https://cms.buybooksindia.com/uploads/books/9780316044387.jpg,"Seventeen-year-old Ellie Spencer is just like any other teenager at her boarding school. She hangs out with her best friend Kevin, she obsesses over Mark, a cute and mysterious bad boy, and her biggest worry is her paper deadline. But then everything changes. The news headlines are all abuzz about a local string of serial killings that all share the same morbid trademark: the victims were discovered with their eyes missing. Then a beautiful yet eerie woman enters Ellie's circle of friends and develops an unhealthy fascination with Kevin, and a crazed old man grabs Ellie in a public square and shoves a tattered Bible into her hands, exclaiming, ""You need it. It will save your soul."" Soon, Ellie finds herself plunged into a haunting world of vengeful fairies, Maori mythology, romance, betrayal, and an epic battle for immortality.",https://www.buybooksindia.com/guardian-of-the-dead-9780316044387-70809.htm,mid range
2377,Make and Do Cook,Roger Priddy,Priddy Books,2010,Available,28,Same Day Dispatch,English,895,Spiral Bound,https://cms.buybooksindia.com/uploads/books/9780312508654.jpg,Easy to follow recipes are illustrated with step-by-step instructions to ensure successful and exciting results.,https://www.buybooksindia.com/make-and-do-cook-9780312508654-70805.htm,low range
2378,Big and Busy Body,Roger Priddy,Priddy Books,2009,Available,12,Same Day Dispatch,English,2707,Hardcover,https://cms.buybooksindia.com/uploads/books/9780312506896.jpg,"Fun, interactive learning books. Novelties include lift the flap, turn the wheel, foil and acetate overlays",https://www.buybooksindia.com/big-and-busy-body-9780312506896-70804.htm,mid range
2379,Big and Busy Space,Roger Priddy,Priddy Books,2009,Available,12,Same Day Dispatch,English,1943,Hardcover,https://cms.buybooksindia.com/uploads/books/9780312506872.jpg,"Fun, interactive learning books Novelties include lift the flap, turn the wheel, foil and acetate overlays Full of reference material, ideal for school projects and homework",https://www.buybooksindia.com/big-and-busy-space-9780312506872-70803.htm,mid range
